Shot Number,Partition,Made,Makes,Save,Missed Goal,conversion_rate_other,prop_nc_missed_other,,prop_shots_other
1,Top Left,1,1,0,0,0.807692308,0.666666667,,0.095327103
2,Top Left,1,2,0,0,0.807692308,0.666666667,,0.095327103
3,Top Left,1,3,0,0,0.807692308,0.666666667,,0.095327103
4,Top Left,1,4,0,0,0.807692308,0.666666667,,0.095327103
5,Top Left,1,5,0,0,0.807692308,0.666666667,,0.095327103
6,Top Left,1,6,0,0,0.807692308,0.666666667,,0.095327103
7,Top Left,1,7,0,0,0.807692308,0.666666667,,0.095327103
8,Top Left,1,8,0,0,0.807692308,0.666666667,,0.095327103
9,Top Left,1,9,0,0,0.807692308,0.666666667,,0.095327103
10,Top Left,1,10,0,0,0.807692308,0.666666667,,0.095327103
11,Top Left,1,11,0,0,0.807692308,0.666666667,,0.095327103
12,Top Left,1,12,0,0,0.807692308,0.666666667,,0.095327103
13,Top Left,1,13,0,0,0.807692308,0.666666667,,0.095327103
14,Top Left,1,14,0,0,0.807692308,0.666666667,,0.095327103
15,Top Left,1,15,0,0,0.807692308,0.666666667,,0.095327103
16,Top Left,1,16,0,0,0.807692308,0.666666667,,0.095327103
17,Top Left,1,17,0,0,0.807692308,0.666666667,,0.095327103
18,Top Left,1,18,0,0,0.807692308,0.666666667,,0.095327103
19,Top Left,1,19,0,0,0.807692308,0.666666667,,0.095327103
20,Top Left,1,20,0,0,0.807692308,0.666666667,,0.095327103
21,Top Left,1,21,0,0,0.807692308,0.666666667,,0.095327103
22,Top Left,1,22,0,0,0.807692308,0.666666667,,0.095327103
23,Top Left,1,23,0,0,0.807692308,0.666666667,,0.095327103
24,Top Left,1,24,0,0,0.807692308,0.666666667,,0.095327103
25,Top Left,1,25,0,0,0.807692308,0.666666667,,0.095327103
26,Top Left,1,26,0,0,0.807692308,0.666666667,,0.095327103
27,Top Left,1,27,0,0,0.807692308,0.666666667,,0.095327103
28,Top Left,1,28,0,0,0.807692308,0.666666667,,0.095327103
29,Top Left,1,29,0,0,0.807692308,0.666666667,,0.095327103
30,Top Left,1,30,0,0,0.807692308,0.666666667,,0.095327103
31,Top Left,1,31,0,0,0.807692308,0.666666667,,0.095327103
32,Top Left,1,32,0,0,0.807692308,0.666666667,,0.095327103
33,Top Left,1,33,0,0,0.807692308,0.666666667,,0.095327103
34,Top Left,1,34,0,0,0.807692308,0.666666667,,0.095327103
35,Top Left,1,35,0,0,0.807692308,0.666666667,,0.095327103
36,Top Left,1,36,0,0,0.807692308,0.666666667,,0.095327103
37,Top Left,1,37,0,0,0.807692308,0.666666667,,0.095327103
38,Top Left,1,38,0,0,0.807692308,0.666666667,,0.095327103
39,Top Left,1,39,0,0,0.807692308,0.666666667,,0.095327103
40,Top Left,1,40,0,0,0.807692308,0.666666667,,0.095327103
41,Top Left,1,41,0,0,0.807692308,0.666666667,,0.095327103
42,Top Left,1,42,0,0,0.807692308,0.666666667,,0.095327103
43,Top Left,1,43,0,0,0.807692308,0.666666667,,0.095327103
44,Top Left,0,,1,0,0.826923077,0.666666667,,0.095327103
45,Top Left,0,,1,0,0.826923077,0.666666667,,0.095327103
46,Top Left,0,,1,0,0.826923077,0.666666667,,0.095327103
47,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
48,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
49,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
50,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
51,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
52,Top Left,0,,0,1,0.826923077,0.625,,0.095327103
53,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
54,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
55,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
56,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
57,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
58,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
59,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
60,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
61,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
62,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
63,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
64,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
65,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
66,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
67,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
68,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
69,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
70,Top Middle Left,1,,0,0,0.739130435,0.8,,0.041121495
71,Top Middle Left,0,,1,0,0.782608696,0.8,,0.041121495
72,Top Middle Left,0,,0,1,0.782608696,0.75,,0.041121495
73,Top Middle Left,0,,0,1,0.782608696,0.75,,0.041121495
74,Top Middle Left,0,,0,1,0.782608696,0.75,,0.041121495
75,Top Middle Left,0,,0,1,0.782608696,0.75,,0.041121495
76,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
77,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
78,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
79,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
80,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
81,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
82,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
