Partition,Made,Save,Missed Goal,conversion_rate_other,prop_nc_missed_other,prop_shots_other,top,corner,top_corner
Bottom Right,1,0,0,0.740458015,0.147058824,0.244859813,0,1,0
Top Middle Left,0,1,0,0.818181818,1,0.041121495,1,0,0
Bottom Left,0,1,0,0.796791444,0.131578947,0.34953271,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Top Left,1,0,0,0.823529412,0.666666667,0.095327103,1,1,1
Bottom Middle Left,1,0,0,0.574468085,0,0.087850467,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Middle Left,0,1,0,0.595744681,0,0.087850467,0,1,0
Top Right,1,0,0,0.925925926,1,0.05046729,1,1,1
Bottom Right,1,0,0,0.740458015,0.147058824,0.244859813,0,1,0
Bottom Middle Left,1,0,0,0.574468085,0,0.087850467,0,1,0
Top Right,1,0,0,0.925925926,1,0.05046729,1,1,1
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Right,1,0,0,0.740458015,0.147058824,0.244859813,0,1,0
Bottom Middle Right,1,0,0,0.657142857,0,0.065420561,0,0,0
Top Left,1,0,0,0.823529412,0.666666667,0.095327103,1,1,1
Bottom Middle Right,1,0,0,0.657142857,0,0.065420561,0,0,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Left,0,1,0,0.796791444,0.131578947,0.34953271,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Left,0,1,0,0.796791444,0.131578947,0.34953271,0,1,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
Bottom Right,1,0,0,0.740458015,0.147058824,0.244859813,0,1,0
Bottom Left,0,1,0,0.796791444,0.131578947,0.34953271,0,1,0
Top Middle Right,1,0,0,0.714285714,0.625,0.052336449,1,0,0
Top Left,1,0,0,0.823529412,0.666666667,0.095327103,1,1,1
Bottom Right,1,0,0,0.740458015,0.147058824,0.244859813,0,1,0
Bottom Middle Right,1,0,0,0.657142857,0,0.065420561,0,0,0
Bottom Left,1,0,0,0.79144385,0.128205128,0.34953271,0,1,0
